2021-03-09 11:36:30,330 [main] INFO  [com.wyett.commonsample.CommonBinlogConsumerApp] StartupInfoLogger.java:55 - Starting CommonBinlogConsumerApp on MININT-M6OVT88 with PID 3884 (E:\mygit\springbootdemo\springboot-rocketmq-demo\target\classes started by chelei in E:\mygit\springbootdemo)
2021-03-09 11:36:30,366 [main] INFO  [com.wyett.commonsample.CommonBinlogConsumerApp] SpringApplication.java:651 - No active profile set, falling back to default profiles: default
2021-03-09 11:36:32,170 [main] INFO  [o.s.boot.web.embedded.tomcat.TomcatWebServer] TomcatWebServer.java:92 - Tomcat initialized with port(s): 8080 (http)
2021-03-09 11:36:32,187 [main] INFO  [org.apache.catalina.core.StandardService] DirectJDKLog.java:173 - Starting service [Tomcat]
2021-03-09 11:36:32,187 [main] INFO  [org.apache.catalina.core.StandardEngine] DirectJDKLog.java:173 - Starting Servlet engine: [Apache Tomcat/9.0.27]
2021-03-09 11:36:32,370 [main] INFO  [o.a.c.c.C.[Tomcat].[localhost].[/binlogConsumer]] DirectJDKLog.java:173 - Initializing Spring embedded WebApplicationContext
2021-03-09 11:36:32,370 [main] INFO  [org.springframework.web.context.ContextLoader] ServletWebServerApplicationContext.java:284 - Root WebApplicationContext: initialization completed in 1837 ms
2021-03-09 11:36:32,607 [main] INFO  [o.s.scheduling.concurrent.ThreadPoolTaskExecutor] ExecutorConfigurationSupport.java:171 - Initializing ExecutorService 'applicationTaskExecutor'
2021-03-09 11:36:35,769 [main] INFO  [o.a.r.s.support.DefaultRocketMQListenerContainer] DefaultRocketMQListenerContainer.java:285 - running container: DefaultRocketMQListenerContainer{consumerGroup='dba-canal-mq-connector-test-consumer', nameServer='10.11.197.54:9876;10.11.198.123:9876;10.19.121.128:9876;10.19.122.159:9876', topic='dba-canal-mq-connector-test-dba-test-topic', consumeMode=CONCURRENTLY, selectorType=TAG, selectorExpression='*', messageModel=CLUSTERING}
2021-03-09 11:36:35,770 [main] INFO  [o.a.r.s.a.ListenerContainerConfiguration] ListenerContainerConfiguration.java:127 - Register the listener to container, listenerBeanName:commonBinlogListener, containerBeanName:org.apache.rocketmq.spring.support.DefaultRocketMQListenerContainer_1
2021-03-09 11:36:35,808 [main] INFO  [o.s.boot.web.embedded.tomcat.TomcatWebServer] TomcatWebServer.java:204 - Tomcat started on port(s): 8080 (http) with context path '/binlogConsumer'
2021-03-09 11:36:35,811 [main] INFO  [com.wyett.commonsample.CommonBinlogConsumerApp] StartupInfoLogger.java:61 - Started CommonBinlogConsumerApp in 6.469 seconds (JVM running for 10.592)
2021-03-09 17:36:41,636 [main] INFO  [com.wyett.commonsample.CommonBinlogConsumerApp] StartupInfoLogger.java:55 - Starting CommonBinlogConsumerApp on MININT-M6OVT88 with PID 27280 (E:\mygit\springbootdemo\springboot-rocketmq-demo\target\classes started by chelei in E:\mygit\springbootdemo)
2021-03-09 17:36:41,643 [main] INFO  [com.wyett.commonsample.CommonBinlogConsumerApp] SpringApplication.java:651 - No active profile set, falling back to default profiles: default
2021-03-09 17:36:43,629 [main] INFO  [o.s.boot.web.embedded.tomcat.TomcatWebServer] TomcatWebServer.java:92 - Tomcat initialized with port(s): 8080 (http)
2021-03-09 17:36:43,641 [main] INFO  [org.apache.catalina.core.StandardService] DirectJDKLog.java:173 - Starting service [Tomcat]
2021-03-09 17:36:43,641 [main] INFO  [org.apache.catalina.core.StandardEngine] DirectJDKLog.java:173 - Starting Servlet engine: [Apache Tomcat/9.0.27]
2021-03-09 17:36:43,768 [main] INFO  [o.a.c.c.C.[Tomcat].[localhost].[/binlogConsumer]] DirectJDKLog.java:173 - Initializing Spring embedded WebApplicationContext
2021-03-09 17:36:43,768 [main] INFO  [org.springframework.web.context.ContextLoader] ServletWebServerApplicationContext.java:284 - Root WebApplicationContext: initialization completed in 1995 ms
2021-03-09 17:36:43,962 [main] INFO  [o.s.scheduling.concurrent.ThreadPoolTaskExecutor] ExecutorConfigurationSupport.java:171 - Initializing ExecutorService 'applicationTaskExecutor'
2021-03-09 17:36:47,236 [main] INFO  [o.a.r.s.support.DefaultRocketMQListenerContainer] DefaultRocketMQListenerContainer.java:285 - running container: DefaultRocketMQListenerContainer{consumerGroup='dba-canal-mq-connector-test-consumer', nameServer='10.11.197.54:9876;10.11.198.123:9876;10.19.121.128:9876;10.19.122.159:9876', topic='dba-canal-mq-connector-test-dba-test-topic', consumeMode=CONCURRENTLY, selectorType=TAG, selectorExpression='*', messageModel=CLUSTERING}
2021-03-09 17:36:47,237 [main] INFO  [o.a.r.s.a.ListenerContainerConfiguration] ListenerContainerConfiguration.java:127 - Register the listener to container, listenerBeanName:commonBinlogListener, containerBeanName:org.apache.rocketmq.spring.support.DefaultRocketMQListenerContainer_1
2021-03-09 17:36:47,272 [main] INFO  [o.s.boot.web.embedded.tomcat.TomcatWebServer] TomcatWebServer.java:204 - Tomcat started on port(s): 8080 (http) with context path '/binlogConsumer'
2021-03-09 17:36:47,276 [main] INFO  [com.wyett.commonsample.CommonBinlogConsumerApp] StartupInfoLogger.java:61 - Started CommonBinlogConsumerApp in 6.871 seconds (JVM running for 9.032)
